"Kallesignal","Type","QTH","Freq TX","Freq RX","Gruppe","Lokator","Info","status"
"LD5BF","APRS IGate","Finsehytta","144.8001","144.8001","Bergen","JP30SO","",""
"LD5BG-B","DSTAR Repeater","Bergen/Bildefjellet","434.5500","432.5500","Bergen","JP20NI","",""
"LD5BH","APRS","Hardangerjøkullen","144.8000","144.8000","Bergen","JP30RN","",""
"LD5BR","DMR Repeater","Bergen/Rundemannen","434.8250","432.8250","Bergen","JP20QJ","ID: 242210",""
"LD5ED","DMR Repeater","Bergen/Eksingedalen","434.6875","432.6875","Bergen","JP30BT","QRT ID: 242210","QRT"
"LD5GU","APRS","Gulen/Brosviksåta","144.8000","144.8000","Bergen","JP21NA","",""
"LD5HH","DMR Repeater","Karmøy/Helgelandsfjellet","434.7500","432.7500","Haugaland","JO29PI","ID: 242323",""
"LD5HJ","APRS","Hjellstad","144.8000","144.8000","Bergen","JP20OG","","QRT"
"LD5KH","APRS","Karmøy/Helgelandsfjellet","144.8000","144.8000","Haugaland","JO29PI","",""
"LD5KN","APRS","Knarvik","144.8000","144.8000","Bergen","JP20PN","",""
"LD5KS","APRS","Kysnesstranda/Hammaren","144.8000","144.8000","Bergen","JP30BE","",""
"LD5MT","APRS","Melstveit","144.8000","144.8000","Bergen","JP30CJ","",""
"LD5SK","APRS","Stord/Kattnakken","144.8000","144.8000","Bergen","JO29RU","",""
"LD5VO","APRS","Voss/Lønahorgi","144.8000","144.8000","Voss","JP30EQ","",""
"LD6BE","APRS","Blåhornet, Norddal","144.8000","144.8000","Ålesund","JP32NG","",""
"LD6BK","APRS","Klettkoven","144.8000","144.8000","Fauske","JP77ME","",""
"LD6BS","APRS","Bremanger/Steinfjellet","144.8000","144.8000","Måløy","JP21MU","",""
"LD6FD","APRS","Førde/Hafstadfjell","144.8000","144.8000","Firda","JP21WK","",""
"LD6FF","FM DMR Repeater","Storåsen","434.8750","432.8750","Firda","JP21MO","123/ID:242013",""
"LD6FL","APRS","Florø","144.8000","144.8000","Florø","JP21MO","",""
"LD6FR","DMR Repeater","Hafstadfjellet","434.6500","432.6500","Firda","JP21WK","ID:",""
"LD6HO","APRS","Hornindal","144.8000","144.8000","Bergen","JP31GW","",""
"LD6KN","APRS IGate","Kristiansund","144.8000","144.8000","Kristiansund","JP33VC","",""
"LD6LB","APRS IGate","Humla","144.8000","144.8000","Ålesund","JP32DK","",""
